date_time,pm25,hcho,tvoc,temperature,humidity
27/8/2021 10:00,5.666666667,1.5,225.5,32.35,67.98333333
27/8/2021 11:00,16.35294118,1.529411765,224.8235294,32.38235294,67.72352941
27/8/2021 12:00,5.083333333,2.333333333,225.25,32.23333333,66.71666667
27/8/2021 13:00,5,1.333333333,226.0833333,32.70833333,66.16666667
27/8/2021 14:00,5.25,1.833333333,225.5833333,32.75,65.74166667
27/8/2021 15:00,6.166666667,1.166666667,226.25,32.525,66.56666667
27/8/2021 16:00,6.083333333,2,225.5,32.64166667,66.375
27/8/2021 17:00,6.583333333,1.666666667,225.5,32.80833333,65.54166667
27/8/2021 18:00,8,1.666666667,228.4166667,32.925,65.89166667
27/8/2021 19:00,12.5,1.833333333,225.6666667,33.06666667,65.73333333
27/8/2021 20:00,15.5,1.75,225.75,33.18333333,64.79166667
27/8/2021 21:00,11.33333333,1.75,227.5833333,33.45,61.36666667
27/8/2021 22:00,10.33333333,1.666666667,226.5833333,33.74166667,60.15
27/8/2021 23:00,10.33333333,2.083333333,245.75,33.84166667,59.66666667
28/8/2021 0:00,9.333333333,2,230.25,33.90833333,59.81666667
28/8/2021 1:00,8.75,1.666666667,227.75,33.91666667,61.28333333
28/8/2021 2:00,7.916666667,2.166666667,226.4166667,33.825,60.85833333
28/8/2021 3:00,8.4,1.4,250.5,33.79,59.16
28/8/2021 4:00,11,2,226.3333333,33.71666667,59.9
28/8/2021 5:00,12.08333333,1.583333333,226.5833333,32.7,64.1
28/8/2021 6:00,11.91666667,2.25,225.0833333,31.56666667,66.94166667
28/8/2021 7:00,12.66666667,1.5,225,31.38333333,68.30833333
28/8/2021 8:00,13.75,2.5,225.3333333,31.26666667,69.01666667
28/8/2021 9:00,24.25,1.416666667,224.9166667,31.125,68.51666667
28/8/2021 10:00,24.5,1.916666667,225,30.96666667,68.725
28/8/2021 11:00,23.75,1.25,246.75,30.86666667,69.25833333
28/8/2021 12:00,18.76923077,2.769230769,330.6923077,31.04615385,70.29230769
28/8/2021 13:00,20.08333333,1.416666667,315.1666667,32.275,66.76666667
28/8/2021 14:00,22.75,2.25,304.3333333,32.225,66.5
28/8/2021 15:00,22.66666667,1.75,321.8333333,32.33333333,66.26666667
28/8/2021 16:00,27.16666667,1.583333333,337.1666667,32.35,66.15833333
28/8/2021 17:00,26,2.416666667,290.3333333,32.59166667,64.43333333
28/8/2021 18:00,16.16666667,1.416666667,245.3333333,32.75833333,62.125
28/8/2021 19:00,13.25,2.083333333,248.6666667,32.95833333,60.44166667
28/8/2021 20:00,11.5,1.416666667,249.4166667,33.325,57.675
28/8/2021 21:00,7.545454545,2.090909091,242.0909091,33.69090909,54.09090909
28/8/2021 22:00,6.5,1.666666667,256.25,33.725,52.125
28/8/2021 23:00,6.5,1.916666667,284.5833333,33.99166667,50.925
29/8/2021 0:00,5.416666667,1.5,313.9166667,33.85833333,48.68333333
